id,fall_time[s],number_of_charges[e],fall_velocity[m/s],rise_velocity[m/s],radius
1,16.662824932095415,1,3.0006916716559603e-05,7.776688620901829e-05,4.988484188115328e-07
2,12.647276886548443,1,3.9534202064619666e-05,5.1726422059725005e-05,5.780459898233489e-07
3,17.86484709658913,6,2.7987924962171277e-05,0.0006468321833277244,4.805189546339489e-07
4,15.774249471387954,2,3.16972291396128e-05,0.00017677642609188542,5.137272263202602e-07
5,9.589479701726745,7,5.214047222081994e-05,0.0004904518013198062,6.693691252420996e-07
6,18.547520375313912,6,2.6957781411335296e-05,0.0006636161287140652,4.7091329883652463e-07
7,18.767087756143404,8,2.664238620807456e-05,0.0009008306649425365,4.679360240044515e-07
8,15.89852010787328,10,3.1449468039002544e-05,0.0010159009954497254,5.115714546355047e-07
9,14.615698058106112,6,3.420979264980721e-05,0.0005629841545175385,5.351324781759376e-07
10,15.656028792907563,4,3.1936578976305166e-05,0.00038311043414297166,5.158018657785631e-07
