video,track_id,fall_velocity_mm_s,fall_std,fall_n_segments,rise_velocity_mm_s,rise_std,rise_n_segments
trial1drop1.mov,3,0.3117722386014984,0.026680493515691777,2,0.43367206245809703,0.0884051587327704,5
trial2.mov,0,0.2807685140640425,0.14503984415006796,4,0.4278356523639305,,1
trial2.mov,1,1.409112480855557,0.34656707298926287,2,0.4857251983369389,,1
trial2.mov,6,0.9508153363771492,0.8028981039112612,2,0.6450142425219527,0.13543499318288305,3
trial2.mov,12,1.0935141509434594,,1,0.32029881055610626,0.06921924746881626,3
trial2.mov,537,0.3718496240601484,,1,0.6975795341467583,,1
trial2.mov,1724,0.6887277932050068,0.33061849526926285,9,1.097612362974706,1.0033708837110706,2
trial2.mov,1766,0.7245496115426895,,1,1.6698052976850337,0.17491920863514204,2
trial2.mov,1942,0.3620488642903753,0.13004955233396942,33,0.3511355801209388,0.2407184025130214,4
trial2.mov,2016,0.2569862157986541,0.2371915514877762,2,0.6665229110511993,,1
trial3.mov,0,0.5707931907989804,0.0848036049766803,4,0.6540399285981039,0.07989763560680938,2
trial3.mov,1,0.8662855656734504,0.12413757939975045,2,0.35524913004224296,0.0243748496310683,2
trial3.mov,4,0.6248541806811106,0.4756254111883745,5,0.6534646968101577,0.13670323549171917,4
trial3.mov,5,0.60446815363468,0.3541375504156379,7,0.3729779535913572,0.24361165971101478,2
trial3.mov,12,0.6631185702941215,,1,0.3149774540457758,0.14329510975128346,2
trial3.mov,13,0.499225947110389,0.0008416747758135822,2,0.9998586217188367,,1
trial3.mov,75,0.2079478045170093,,1,0.2911750445681178,,1
trial3.mov,196,0.49992931085941833,,1,0.6573461045727412,0.1556091547161669,2
trial3.mov,263,1.9372260795802467,,1,0.7050727177293219,,1
trial3.mov,929,0.9384129985694336,,1,0.6383716410915511,0.08902884269475161,3
trial3.mov,933,0.38272899494753865,0.14468192347849163,2,0.3454731274098862,0.267732743383504,4
trial3.mov,1061,0.5901847043377165,0.21997303616081562,6,0.25689855596395267,0.19645009483781464,3
trial4.mov,0,0.06406900515752025,0.022095713825214823,2,0.2322282980177733,,1
trial4.mov,1,0.34282688204181294,0.3408035584323416,4,0.3756957328385889,,1
trial4.mov,428,0.2922077922078088,,1,0.0925627167863246,,1
