video,track_id,vf_mm_s,vr_mm_s,radius_um,charge_C,n,e_calc,error_pct
trial1drop1.mov,6,0.09238692387726367,0.1772024950894504,0.8934436541406128,1.1516718927014772e-18,7,1.6452455610021103e-19,2.699473221105514
trial1drop1.mov,77,0.15212596228864486,0.2586266371187264,1.1574901515084626,2.3172016130409535e-18,14,1.6551440093149667e-19,3.317353889823144
trial1drop1.mov,140,0.11487979007234593,0.12074929873240436,1.0007515889366478,1.1376248287841893e-18,7,1.625178326834556e-19,1.4468368810584287
trial1drop1.mov,192,0.09674393184045549,0.04823369565218058,0.9151713074327644,6.356519269090336e-19,4,1.589129817272584e-19,-0.8033821927225963
trial1drop1.mov,207,0.12413933801901246,0.11627511620932458,1.0418395729256658,1.2119609441068022e-18,8,1.5149511801335028e-19,-5.433759042852509
trial2.mov,2,0.19600864820703945,0.1926774019407538,1.319165769834667,2.5191658935641153e-18,16,1.574478683477572e-19,-1.7179348640716539
trial2.mov,170,0.1843485792747847,0.2081931082582322,1.2781421952354606,2.4604720386890062e-18,15,1.6403146924593375e-19,2.3916786803581473
trial2.mov,233,0.2560351042146721,0.1662141509433982,1.5133094774600688,3.162915287257627e-18,20,1.5814576436288134e-19,-1.2822944051926708
trial2.mov,823,0.18899359061945964,0.28752419369828824,1.2946357852934915,3.0276787030467763e-18,19,1.5935151068667245e-19,-0.5296437661220649
trial2.mov,1463,0.1823436831368709,0.2265925426774758,1.27095908524761,2.547971101503199e-18,16,1.5924819384394993e-19,-0.5941361773096551
trial2.mov,1670,0.07905741220482092,0.22942882251290153,0.8235856609810845,1.2062975673055654e-18,8,1.5078719591319567e-19,-5.875657981775483
trial2.mov,1711,0.08331536388139874,0.1782948787061954,0.8464992242560928,1.0540088754597178e-18,7,1.5057269649424539e-19,-6.009552750158933
trial2.mov,2258,0.05106058874815067,0.07846340828045496,0.6543543724365213,3.9331306472935923e-19,2,1.9665653236467962e-19,22.7568866196502
trial2.mov,2455,0.1195228375245248,0.5043380195510966,1.0215532018678743,3.07931939335056e-18,19,1.6206944175529263e-19,1.1669424190341002
trial2.mov,2465,0.16029235123365615,0.10120680420210293,1.1891882356390444,1.5182532877815978e-18,9,1.6869480975351087e-19,5.302627811180318
trial2.mov,3250,0.17341996584871294,0.09796213826605618,1.238498025857172,1.645140490827777e-18,10,1.645140490827777e-19,2.6929145335691063
trial2.mov,3357,0.1666307277628016,0.13633423180589954,1.2132385352601172,1.796845867623431e-18,11,1.6334962432940282e-19,1.9660576338344695
trial2.mov,3380,0.24826201944120943,0.09372978436658558,1.4895580870514562,2.5194901900586272e-18,16,1.574681368786642e-19,-1.7052828472757777
trial2.mov,3434,0.21205161885936497,0.1622516506194613,1.3736658555059764,2.531979964868123e-18,16,1.5824874780425768e-19,-1.2180101097018188
trial2.mov,3502,0.19086940179837408,0.23624467904153276,1.3012389779365916,2.7284355213804983e-18,17,1.604962071400293e-19,0.18489833959382382
trial2.mov,3532,0.16891009143674643,0.2454491948243711,1.221775318333124,2.4758848837345668e-18,15,1.6505899224897113e-19,3.0330788070980836
trial2.mov,3533,0.257643458655767,0.17747480974914592,1.5181787636751223,3.2703321214696847e-18,20,1.6351660607348424e-19,2.070290932262322
trial2.mov,3568,0.1297673912015527,0.3577863244699774,1.0660680587369633,2.5191070146485457e-18,16,1.574441884155341e-19,-1.7202319503532397
trial2.mov,3580,0.09601419034806959,0.04976822266868753,0.9115667834504193,6.364585303361208e-19,4,1.591146325840302e-19,-0.6775077502932517
trial2.mov,3582,0.24368872865861854,0.1471328500577314,1.4754100908636354,2.8504686395117474e-18,18,1.5835936886176374e-19,-1.1489582635682
trial2.mov,3599,0.12597283018868105,0.3216271416694399,1.049791797514283,2.2748754074307386e-18,14,1.6249110053076705e-19,1.430150144049347
trial2.mov,3668,0.1989735814988342,0.17258882365700864,1.3294013819184485,2.427949516499715e-18,15,1.61863301099981e-19,1.038265355793384
trial2.mov,4025,0.13351038396377854,0.16682142550921802,1.0818919022100313,1.5764232259657218e-18,10,1.5764232259657218e-19,-1.5965526862845274
trial2.mov,4040,0.18090931891473244,0.14475736597103153,1.2657958296274454,2.020404386144452e-18,13,1.5541572201111168e-19,-2.98644069218996
trial2.mov,4044,0.2422629743731374,0.1374703504043361,1.4709722783381571,2.7608324944561505e-18,17,1.624019114385971e-19,1.3744765534313983
trial2.mov,4095,0.20796373244409108,0.2234670971983493,1.3599801444616983,2.8877274596086085e-18,18,1.6042930331158937e-19,0.14313565018063124
trial2.mov,4427,0.13019424826218612,0.23463728789860183,1.067884048836952,1.8884600346015358e-18,12,1.5737166955012798e-19,-1.7654996565992624
trial2.mov,4517,0.18308481317592257,0.17376811075176327,1.2736189687326231,2.228385997262565e-18,14,1.591704283758975e-19,-0.642678916418538
trial2.mov,4522,0.21166129815014487,0.14843668936191767,1.3723648373750477,2.433452713708548e-18,15,1.622301809139032e-19,1.2672789724739135
trial2.mov,4649,0.19179035818951112,0.1504963743102269,1.304469044353018,2.1922978328237797e-18,14,1.565927023445557e-19,-2.2517463517130474
