video,track_id,vf_mm_s,vr_mm_s,delta_vf_mm_s,delta_vr_mm_s,radius_um,delta_radius_um,charge_C,delta_charge_C,n,e_calc,delta_e_calc,error_pct,dq_d,dq_V,dq_eta,dq_rho,dq_b,dq_p,dq_vf,dq_vr,dq_g
trial2.mov,4869,0.1499676549865053,0.1312216981132576,0.0074983827493252655,0.006561084905662881,1.1466845661917238,0.029875231814009348,1.5438879272389017e-18,9.37297916949168e-20,10,1.5438879272389018e-19,9.372979169491679e-21,-3.627470209806379,2.0585172363185495e-20,3.087775977988694e-22,5.2835439785494666e-21,4.801895606178439e-21,1.5401940894274388e-21,1.5581907971317376e-21,8.371329149072775e-20,3.602405163558396e-20,8.67358719842307e-23
trial2.mov,4908,0.2116410886530384,0.1586403830778462,0.010582054432651922,0.00793201915389231,1.3695802094117122,0.03549488593464785,2.4545789606148527e-18,1.5060961695862653e-19,15,1.6363859737432352e-19,1.0040641130575102e-20,2.1464403085664925,3.2727719474864685e-20,4.909158117597067e-22,8.3563722828861e-21,7.522427731260853e-21,2.0616218263975822e-21,2.0857146120050485e-21,1.3679223840060393e-19,5.2580992614419627e-20,1.3587641143578265e-22
trial2.mov,4962,0.1586797768846217,0.2221098850189812,0.007933988844231086,0.01110549425094906,1.180641562784873,0.030731470447605325,2.1567527935721716e-18,1.2551187482568045e-19,13,1.659040610440132e-19,9.654759601975419e-21,3.560587418235456,2.875670391429594e-20,4.313505759686096e-22,7.374144880342491e-21,6.690760613633928e-21,2.0917602603543722e-21,2.116202452832907e-21,1.0421913947967201e-19,6.290035719456435e-20,1.2085413887411517e-22
trial2.mov,4963,0.1554454875157818,0.3864865541766122,0.00777227437578909,0.01932432770883061,1.1681467155495608,0.03041641364400931,3.0348797260466332e-18,1.723363712820283e-19,19,1.5973051189719122e-19,9.070335330633069e-21,-0.2930637345872529,4.04650630139555e-20,6.069759694886406e-22,1.037998592680282e-20,9.423720511391826e-21,2.9738550344367657e-21,3.008604185645719e-21,1.270288988617015e-19,1.0821838509467554e-19,1.7021915615826334e-22
trial2.mov,5010,0.1239262922493639,0.037491913746636,0.006196314612468196,0.0018745956873318,1.038833103664682,0.02715536177026107,7.974601665962078e-19,5.477798367498554e-20,5,1.5949203331924156e-19,1.0955596734997108e-20,-0.4419267670152557,1.0632802221282835e-20,1.5949203969891724e-22,2.7380833382460944e-21,2.5033027484851415e-21,8.750497814742335e-22,8.852735751928537e-22,5.2786948283167207e-20,9.261132471991337e-21,4.5216756284424065e-23
trial2.mov,5098,0.149967654986547,0.398747331536435,0.007498382749327351,0.019937366576821748,1.1466845661918885,0.029875231814013404,3.0127543374213666e-18,1.7098461776875125e-19,19,1.585660177590193e-19,8.999190408881645e-21,-1.019963945680832,4.017005783228524e-20,6.025508915865109e-22,1.0310346857105438e-20,9.370454655495628e-21,3.005546154953791e-21,3.0406650636762896e-21,1.2420233920104942e-19,1.0946737214468946e-19,1.6925702307687213e-22
trial2.mov,5238,0.1934782390159413,0.2159835280796559,0.009673911950797066,0.010799176403982796,1.3077709697746291,0.03393670813690811,2.5849902284535716e-18,1.5259217547623567e-19,16,1.6156188927834822e-19,9.53701096726473e-21,0.8501181512785422,3.446653637938113e-20,5.169980663708606e-22,8.811599313283584e-21,7.950881187212861e-21,2.2706910612963208e-21,2.297226198303275e-21,1.3151722701286274e-19,6.817673278180413e-20,1.4361549709879675e-22
trial2.mov,5247,0.1531248687756842,0.1027107457274201,0.007656243438784211,0.005135537286371006,1.159101411088126,0.030188332866107354,1.4208956136159869e-18,8.879322420759086e-20,9,1.5787729040177632e-19,9.865913800843428e-21,-1.44988114745548,1.8945274848213338e-20,2.841791340904517e-22,4.8609765718452524e-21,4.415113575150324e-21,1.4028233645744165e-21,1.419215085936245e-21,8.163694435141613e-20,2.8522465169435406e-20,7.974949016943279e-23
trial2.mov,5254,0.2263528009209421,0.121415428780656,0.011317640046047106,0.0060707714390328005,1.417725773366372,0.03670854097605299,2.3909105767842854e-18,1.5233691628627036e-19,15,1.593940384522857e-19,1.0155794419084691e-20,-0.5030970959515039,3.1878807690457427e-20,4.78182134484433e-22,8.132122440987313e-21,7.308129522414223e-21,1.9418425180453057e-21,1.964536077424969e-21,1.4255144874143202e-19,4.173662342669355e-20,1.3200557755790776e-22
trial2.mov,5329,0.1111004410719152,0.0903594927973355,0.00555502205359576,0.004517974639866775,0.9815395650172658,0.025710232786368338,9.36437792580965e-19,5.76515683504533e-20,6,1.5607296543016084e-19,9.60859472507555e-21,-2.5761763856673903,1.2485837234413039e-20,1.872875660077164e-22,3.221777148465267e-21,2.9562274251152664e-21,1.0851538306198535e-21,1.097831719867229e-21,5.2011896875602736e-20,2.100071273447088e-20,5.339786156655478e-23
