video,track_id,vf_m_s,vr_m_s,radius_um,charge_C,n_estimated,n_rounded,e_calculated,e_error_pct
trial1drop1.mov,3,0.0003117722386014984,0.000433672062458097,1.6740077514008305,6.207047630487509e-18,38.74561567095824,39,1.5915506744839768e-19,-0.6522675103634947
trial2.mov,0,0.0002807685140640425,0.0004278356523639305,1.5865795330809211,5.577964773618573e-18,34.818756389629044,35,1.5937042210338781e-19,-0.5178388867741476
trial2.mov,1,0.001409112480855557,0.0004857251983369389,3.6036353588164434,3.482441228552152e-17,217.38085072110812,217,1.6048116260608996e-19,0.1755072447502884
trial2.mov,6,0.0009508153363771493,0.0006450142425219528,2.9530298933036003,2.3918216288694086e-17,149.30222402430766,149,1.6052494153485965e-19,0.20283491564272835
trial2.mov,12,0.0010935141509434594,0.00032029881055610623,3.1697745978926903,2.2787024536857303e-17,142.2411019778858,142,1.6047200378068522e-19,0.16979012527167722
trial2.mov,537,0.0003718496240601484,0.0006975795341467583,1.8318373067711322,9.783185748858035e-18,61.06857521134854,61,1.6038009424357436e-19,0.11241837925990247
trial2.mov,1724,0.0006887277932050068,0.001097612362974706,2.5073586464733664,2.2625639079565536e-17,141.23370211963507,141,1.604655253869896e-19,0.16574618413833078
trial2.mov,1766,0.0007245496115426895,0.0016698052976850334,2.5727606399580423,3.114249996640678e-17,194.3976277553482,194,1.60528350342303e-19,0.20496276048876982
trial2.mov,1942,0.00036204886429037534,0.00035113558012093884,1.8070103088647915,6.432080773500272e-18,40.15031693820395,40,1.6080201933750682e-19,0.3757923455098746
trial2.mov,2016,0.00025698621579865413,0.0006665229110511993,1.5161908040850283,6.9315101544407014e-18,43.26785364819414,43,1.6119791056838841e-19,0.622915460916614
trial3.mov,0,0.0005707931907989805,0.0006540399285981039,2.279045200465348,1.405697524484692e-17,87.74641226496205,88,1.5973835505507862e-19,-0.28816788072495453
trial3.mov,1,0.0008662855656734504,0.0003552491300422429,2.8168942776183075,1.744179982816484e-17,108.87515498230238,109,1.6001651218499854e-19,-0.11453671348405738
trial3.mov,4,0.0006248541806811107,0.0006534646968101577,2.3863714424010234,1.5385427873825988e-17,96.0388756168913,96,1.6026487368568737e-19,0.040495434261781184
trial3.mov,5,0.00060446815363468,0.0003729779535913572,2.346466302030307,1.1561050219180486e-17,72.16635592497182,72,1.605701419330623e-19,0.23104989579419308
trial3.mov,12,0.0006631185702941215,0.00031497745404577583,2.4595537943237513,1.214490737638479e-17,75.81090746806986,76,1.598014128471683e-19,-0.24880596306597977
trial3.mov,13,0.000499225947110389,0.0009998586217188367,2.128811731941049,1.603155596616994e-17,100.07213462028677,100,1.603155596616994e-19,0.07213462028676448
trial3.mov,75,0.00020794780451700932,0.0002911750445681178,1.3599265582571107,3.3406763651082756e-18,20.85316083088811,21,1.5907982690991788e-19,-0.699234138628038
trial3.mov,196,0.0004999293108594183,0.0006573461045727413,2.1303388182840455,1.2385373177295354e-17,77.3119424300584,77,1.6084900230253707e-19,0.4051200390368759
trial3.mov,263,0.0019372260795802467,0.0007050727177293219,4.23221465393927,5.721891342004806e-17,357.1717441950566,357,1.6027706840349596e-19,0.04810761766289726
trial3.mov,929,0.0009384129985694336,0.0006383716410915511,2.933445987227029,2.347186401906631e-17,146.51600511277348,147,1.5967254434738987e-19,-0.32924822260307557
trial3.mov,933,0.0003827289949475386,0.00034547312740988625,1.8590166159446437,6.764649769493985e-18,42.22627821157294,42,1.6106308974985678e-19,0.5387576466022385
trial3.mov,1061,0.0005901847043377165,0.00025689855596395264,2.3181045914941363,9.894005733892668e-18,61.76033541755723,62,1.5958073764343013e-19,-0.38655577813350367
trial4.mov,0,6.40690051575202e-05,0.00023222829801777331,0.7375775410509842,1.0269225656128185e-18,6.41025321855692,6,1.7115376093546975e-19,6.837553642615328
trial4.mov,1,0.00034282688204181287,0.0003756957328385889,1.7573223924625345,6.294407104273589e-18,39.290930738287074,39,1.6139505395573306e-19,0.7459762520181384
trial4.mov,428,0.0002922077922078088,9.25627167863246e-05,1.6193736414146935,3.0944688075776742e-18,19.316284691496094,19,1.6286677934619339e-19,1.6646562710320785
